positive,来紫琅湖听个音乐节，竟偶遇小米SU7 Max
positive,我一直说“我不信小米汽车SU7操控比Tesla Model 3好”对么？而且这并不是Tesla  Model 3 Performance版本，只是普通全轮驱动版本。
positive,各家语音控制，谁最强？
positive,小米 SU7 Pro 版本终于交付了，作为一台 400V 的车型，这台车的续航能力、充电效率相比 800V 的车型有优势吗？
negative,嘿嘿嘿，现在华为杀回来了，小米汽车会尴尬吗？
positive,Xiaomi Ultra Prototype  对团队来说有太多的跨越，太多的新认知，太多的第一次，对每个设计师而言都是绝无仅有的经历与挑战。
positive,小米这个门店目前已经覆盖30个城市，一共87家
positive,雷总刚刚直播透露，目前小米汽车新订单，其中女士车主订单量已经达到了40%，而实际女士开车的车主，应该已经过半了！
negative,小米汽车工厂底薪只有2400？早八晚八一周六天！
positive,论营销，国内车企甚至全球车企都比不过小米。这么大的现金流，不考虑一下进军F1吗？不用自己造，冠名赞助一支就行。
positive,小米 SU7 收到更新了，晚一点试试看怎么样
positive,别说，还真像法拉利purosangue
negative,问界M7累计交付已经超20万辆！
positive,小米自研的声音大模型将在 8 月首次应用于小米 SU7 车型，提供车外唤醒防御功能。大家觉得车外唤醒防御功能实用吗？
negative,【小米SU7狂飙100天，雷军亏本黄牛狠赚】
positive,本周六肖爽总去吐鲁番夏测直播，小米SUV首次亮相？大型预热活动？
positive,小米SU7亮相巴黎街头，甚至还有人学会了”小爱同学“的发音
positive,小米SU7来到了巴黎进行展示，很多人已经学会了“小爱同学”的发音
positive,小米 SU7  OTA 1.2.3开始推送
positive,【雷军：小米汽车SU7 Ultra量产版明年上市】
negative,【140年汽车工业没人想到的事，雷军交了智商税】
positive,小米汽车上周交付1500辆
negative,小米SU7上市前后，各种舆论爆棚，各种营销碾压，革命似的追捧。最近订单下来了，又出来了不少诸葛亮，你看吧我早就说过粗粮不行的，当时那是海市蜃楼，还得是菊花稳的一匹
positive,在那庄严的瞬间，当他行礼，我心中明了，那位征服巨龙的少年再度归来！
positive,小米SU7，上周交付1500台，7月累计7500台。
positive,收一台 标准版 小米SU7 + 20寸梅花轮毂   二手车 ~订单都可以
negative,这算不算实锤
positive,雷军揭秘明年上半年小米SU7 Ultra量产车将会开售！
positive,赛道博主的新玩具来了，这次刹车皮应该不会太薄
positive,雷军：现在小米汽车工厂已经改造完毕，很快产能就可以提上去了
positive,雷总又说有点贵，你觉得小米 SU7 Ultra 会多少起售？
positive,雷军在返场直播中透露，SU7 Ultra 的量产版将于 25 年上半年来，与原型车（prototype）拥有同样的动力（双 V8s 和 V6s，1548bhp），同样的底盘，和同样的电池技术（宁德时代麒麟 II 首发），但是由于成本和定位的问题量产版不会有全碳覆盖件。同时，SU7 的赛道套件已经进入了最后的测试阶段，将会很快 ​
positive,小米巨能打羽毛球�？刚刚雷总说先老老实实做好SU7车模型
positive,原来小米SU7上市之前，蔚小理也参与了猜价格
negative,防晒衣质量真好，下面做到齐平就这么难吗？
negative,上周，小米Su7 1500，黑稿要来了。
negative,营销之王雷军，已经代替了马云，成为新一代的企业家教父
positive,虽晚，但必到！
positive,这次测试后发现，小米SU7在出行成本这块儿竟然比高铁大巴还要省。
positive,小米汽车发布了《纽北攻略2》，解释了纯电车挑战纽北赛道的难度，从轻量化、电池功率与散热性、热管理等方面说明了小米 SU7 Ultra 为挑战纽北赛道做出的努力。
positive,拍了一天素材才回来，先来说下
negative,在线钓狗
positive,刚刚我停在地下车库玩手机，隔壁一位邻居女士过来，问我车子落地多少钱，然后续航怎么样，说她老公很想买
positive,小米官方表示，本次事故是在官方极限测试时发生的，为了摸寻赛道相关零部件的极限性能，所以进行了长时间激烈驾驶。整个过程是在封闭包场环境下测试，现场无人员受伤，目前车辆已经运回测试中心进行内部调整。请用户切勿在车辆原厂状态下，冒然挑战极端的赛道工况，确保人车安全。
positive,周榜来了（7月 15-21 日）
negative,这米粉不得给他微博冲烂？什么罗永浩行为？？？
negative,谁能想到雷军的年度演讲还有续集
positive,小米，这是要掀桌子了
