positive,说了跟没说一样，来点儿给力的... 哈哈… 这姑娘的事儿闹这么大动静？！玛莎拉蒂值了 中国得出大事了，期待建党尾业，哈哈哈
negative,广告贴／克什米尔兄弟对咱都很友善／因为当年咱天朝瘪着肚子送他们大米
positive,这个可以
negative,羡慕嫉妒恨
positive,哈哈哈，从此，《男人帮》成了一部具有时代意义的里程碑作品。我喜欢这样的电视剧，剧情得多复杂啊，没准儿还能看看电视边团购。
negative,我的邻居不是爱唱歌，就是爱叫床。麻辣隔壁！ 这的确是这样
negative,浅灰羊驼毛前短后长系腰带斗篷式短外套，内衬本白刺绣衬衫，下配黑底碎花雪纺长褶裙，黑色漆皮短靴，加顶黑色亮片细线贝雷帽，猪肝紫色真皮波士顿包。今日十分民国范儿。可没人给我拍---仿佛让一个女人打扮好了，却不给她镜子---怅惘中
negative,苍天啊！各位大锅，我懂了，你们这是真心舍不得我嫁出去啊...看来我的真命天子必须是八张嘴，十只手和二十条腿儿的无敌强男！说不过就写，写不过就跑！金鸡奖最佳短片。
negative,请张老板买单！ 付费的啊 终于等来了，准备好PK美女边同学
negative,"快来撑一下，变形金刚老3,快撑不住了哇！！！……看把大黄蜂给逼的 乖乖，再坚持几天 容易嘛。。。"
positive,好威风的一条龙！好想要
negative,新买的充气筒都让我用爆炸了，牛牛的海豚玩具是有多结实啊
positive,哈哈哈哈哈哈哈每次去饭馆吃饭，大家抱怨菜淡的时候，陈欧都会讲“我是陈欧，我为自己带盐”
negative,直接忽略我，不是人啊~~
negative,有回遇见拒载，只说了句您拒载啊?他立刻加油门冲上来，且语气凶悍，搞得我以为他要上人行道轧我。还好我改笑眯眯上车，一路好话哄之，总算下车时师傅脸色稍霁，我也没迟到。唉，如今打个车，还得哀告+卖笑
positive,回复Dear ??，此”?忘“茶具，是特?? “看?民?” 所精心???作。所?的泥料?台?陶作坊所??的“老岩泥”，十分?合岩茶、??、普洱、?茶！你能喜?，我好?心！
negative,今日早餐，肉汤素面。作为厨娘，一物多用是基础技能，柴米油盐贵，持家不易阿 好眼力的看官能发现，这红汤底是昨日炖狮子头的肉汤因为是放了冰糖的，所以今天配了微甜的南瓜片，味道相宜色泽又亮丽。再加上鸡毛菜，鸡蛋，稍许雪菜笋丝的点缀。早上一碗，暖胃暖身出门不怕冷
positive,2012 即将过去 2013年 亲们 准备好了吗 挑战自我 挑战奇迹埃塔所有关注我的人
positive,哈哈，晃姐的文字一下让人醒了，早！ good morning.
negative,又一次活活被楼上群租的小伙子们惊醒，忙了一天他们的精力还那么旺盛，追逐打闹声，翻箱倒柜声，蹦蹦跳跳声，咣咣的砸的人心里起急，要了老命了
negative,圈里的资深员工，只有经历了才明白伤不起啊伤不起 传统旅行社如果一直这样，等待他们的只有灭亡。
positive,很有道理，我也没吃过，能打包一份快递过来吗？好吃吗？不好吃的话，这些都不重要了。。。。。 麻烦餐饮的朋友们鉴定一下，这个餐厅这是要疯吗？ 所有店都践行此承诺！
negative,结婚50年，他们似乎把抱怨印在骨子里。 每天一睁眼，对彼此抱怨声就会马上响起。 儿女们甚至不敢单独去看望他们， 因为每次都会是一场耳朵的灾难。 又是一个早上，当他又开始抱怨她的晚起时， 突然发现她已经去了。沉默好久， 他说出了最后的抱怨：“为什么不等我一起走…”
positive,意境美！ 真美！都不象了 杭州灵隐寺
positive,今天才发现搜狐视频给的推广词儿是＂五年胡搞终了结＂
positive,哈哈哈，我想问大家都安全上楼回家了吗？？
positive,画个淡妆去拍结婚证照片
negative,"第三位同学,麻烦你严肃点儿啊!"
positive,不是说温差大么？热死我了，我是一看天气预报就会穿错衣服的人。有相同衰病的举手
positive,谁家还有男神？快到碗里来！我都给你们祸祸了！
positive,色彩搭配，吃着不累。有会员拿家里小朋友做过试验，看孩子们没被污染的味觉喜欢哪一种。结果是黄的先被吃完，然后红的，最后紫的。大家也是这样吗？
negative,回复不会，我会在旅途结束后适当分享，因为……旅途中分享照片太耗流量了
negative,老师们的经典语录――纪念我们已经过去，终会过去的中学时代。
positive,运营值班的同事是不是现在就开始抄去年的啦 哎呀，知道得太多了！
